term,gloss,is_phrase,repaired,original_key
ეგოდენი,მაგდენი,False,False,
ზედგომა,დგომა (მღვიძარება),False,False,
ღამე ყოველ,მთელი ღამე,True,False,
დაშრომა,შრომა,False,False,
ფსალმუნება,ფსალმუნთა გალობა,False,False,
არცაღა მცირედ სადა სცა ჴორცთა მისთა განსუენებაჲ,არც ოდესმე ოდნავ შეუსვენია,True,False,
შეიქმნა და დადნა ვითარცა ავლი,ნაცარს დაემსგავსა (აქ: ძლიერ გახდა),True,False,
ერგასისი,ორმოცდაათი,False,False,
დღისი,დღისით,False,False,
ღამჱ,ღამით,False,False,
დაჯდის,დაჯდა ხოლმე,False,False,
მიიღის,მიიღო ხოლმე,False,False,
გარნა,მხოლოდ,False,False,
კჳრიაკე,კვირა,False,False,
ეზიარის ჴორცსა და სისხლსა ქრისტჱს ღმრთისა ჩუენისასა,ჭამდა ხოლმე პურს და ღვინოს დალევდა,True,False,
შექმნული,შემზადებული,False,False,
ვიდრე აღვსებადმდე,აღდგომამდე,True,False,
ვინაჲთგან,"რაც, რადგანაც",False,False,
პყრობილ,ყვეს იგი ციხესა მას შინა - საპატიმროში ჩააგდეს,False,False,
სასთაულსა ზედა თავი არა მიდვის,ბალიშზე თავს არ დებდა,True,False,
გარნა,მხოლოდ,False,False,
ალიზაკი,აგური,False,False,
დაიდვის სასთუნალ,იდებდა სასთუმლად,True,False,
ქუესაგებელი,ლოგინი,False,False,
გირჯაკი,ქსოვილის ნაჭერი,False,False,
კაცთა თუალსა,ხალხის დასანახავად,True,False,
სასთაულაკი,მცირე ბალიში,False,False,
ხალენი,ტყავი,False,False,
უცნ,აქვს (აქ: ჰქონდა) ხოლმე,False,False,
კილიკი,ქვეშ დასაფენი,False,False,
წარუგდებიედ,დაფენილი ჰქონდა,False,False,
გრწყილი,რწყილი,False,False,
მოუგონებელი,ურიცხვი,False,False,
დაწერტილი,დამუწუკებული,False,False,
დამშრშალი,"გამომშრალი, დამჭკნარი, გამხდარი",False,False,
დამღიერებული,წყლულებით დაავადებული,False,False,
ჩარადოვანი,კეთრიანი,False,False,
საკრველი,ბორკილი,False,False,
დაუცხრომელად,შეუსვენებლივ,False,False,
თხრამლი,ჩირქი,False,False,
რომელი-იგი,"რომელიც, რაც",True,True,რომელი
ნუ მძიმე-გიჩნ,ძნელად ნუ გეჩვენება,True,True,ნუ მძიმე
მუნ იგი მატლი,"იქაური მატლი (წამება, რომელიც ურწმუნოებს მოელის საიქიოში)",True,False,
არა მოკუდების,არ მოკვდება (არ დასრულდება),True,False,
მოუგონებელად დიდად,მეტისმეტად,True,False,
ვტიროდე,ვტიროდი,False,False,
უმჯობჱს იყავნ,უმჯობესია,True,False,
მცირედღა შეგერაცხაა საგუემელად?,სატანჯველად მცირედ მიგიჩნევია? მატლთა მაგათთჳს - მაგ მატლთა გამო,True,False,
ქენებით,ხვეწნით,False,False,
ნუვის თანა იტყჳ ძაძისა სამოსლისათჳს ცხორებასა ჩემსა,"ნუვის ეტყვი, რომ ძაძა მაცვია",True,False,
ადრე ყოფად არს დატევებაჲ უბადრუკთა ამათ ჴორცთა ჩემთაჲ,მალე მოვკვდები,True,False,
შინაგან,შიგნით,False,False,
გარეგან კაცთა თუალსა,ხალხის დასანახავად,True,False,
ანტიოქიისა პალეკარტი,ანტიოქიური წამოსასხამი,True,False,
მიახლებულ არს ნეტარი დედოფალი წმიდაჲ შუშანიკ სიკუდილდ,სიკვდილის პირასაა წმინდა დედოფალი შუშანიკი,True,False,
მჴევალი,მონა ქალი,False,False,
მივიდა ციხედ,ციხეში მივიდა,True,False,
ხილვად,სანახავად,False,False,
მარტჳლი,მოწამე,False,False,
ვითარცა მიიწია,როცა მივიდა,True,False,
მძლავრ,ძალით,False,False,
სალმობა,"სნეულება, ტკივილი",False,False,
კეთილ ვარ,კარგად ვარ,True,False,
ვითარ ღმერთსა უნებს,როგორც ღმერთს სურს,True,False,
ყოველთა წარსავალსა მას გზასა მეც წარვალ,"მეც მოვკვდები, როგორც ყველა",True,False,
პირველი,ადრინდელი,False,False,
სძალი,რძალი (იგულისხმება: ქრისტეს მოწამე),False,False,
რაჲთა მომიტევნეს,რომ მომიტევოს,True,False,
ყრმებრ,ბავშვურად,False,False,
ჰქმნე,ჩაიდინე,False,False,
ღმერთმან მოგიტევნეს,ღმერთმა გაპატიოს (ღმერთი გაპატიებს),True,False,
მაგის სახისათჳს,მაგის გამო,True,False,
მოვედ,მოდი,False,False,
რომელი-იგი,"რომელიც, რაც",True,True,რომელი
არა რაჲმე სათნო იყოს ღმრთისა,რაც ღვთის მოსაწონი არ იქნება,True,False,
არა ვქმნე,არ ვიზამ,True,False,
უკუეთუ ეგე ეგრეთ ჰყო,თუ ეს ასე ქნა (თუ ასე იზამ),True,False,
უკუდავ მექმნე მე მაგით სიტყჳთა,მახლობელი გამიხდები,True,False,
ღმერთმან შესძინენ დღეთა ცხორებისა შენისათა,ღმერთმა გაახანგრძლივოს შენი სიცოცხლე,True,False,
შეატყუა,შეატყო,False,False,
განვალეს წმიდაჲ იგი ჴორცთა ამათგან,წმინდანი კვდებოდა,True,False,
მაკურთხე,დამლოცე,False,False,
კაცი საწუთროჲსა,"ამქვეყნიური, სოფლისმოყუარე (წუთისოფლის მოყვარული)",True,False,
მოგჳტევენ,გვაპატიე,False,False,
მოიჴსენებ,გაიხსენებ,False,False,
მედგრობა,გულგრილობა,False,False,
ჰყავთ წარმდებად,"ცუდად, უგულოდ ჰქენით",True,False,
იპოვა,აღმოჩნდა,False,False,
რომელსამცა აქუნდა წყალობაჲ,რომელიც მოწყალე იქნებოდა,True,False,
რომელმანმცა შეაჯერა,"რომელიც დაარწმუნებდა, დააჯერებდა",True,False,
თჳნიერ შენსა,უშენოდ,True,False,
ფრიად დავშუერით,ძლიერ ვეცადეთ,True,False,
გარნა არა იყო სმენაჲ,მაგრამ არაფერი გაიგონა,True,False,
განვისაჯნეთ,გავსამართლდებით,False,False,
მუნ,იქ,False,False,
სადა-იგი,სადაც,True,True,სადა
არა არს თუალღებაჲ,არ არის მიკერძოება,True,False,
მსაჯულთაჲსა და მეუფისა მის მეუფეთაჲსა,ქრისტე,True,False,
რჩევაჲ,"სხვაობა, გარჩევა",False,False,
სწორი,მართალი (თანასწორი),False,False,
ვთქუათ,ვიტყვით,False,False,
მიაგოს მას უფალმან,ღმერთი გადაუხდის,True,False,
ვითარ,"როგორ, როგორც",False,False,
უჟამოდ ნაყოფნი ჩემნი მოისთულნა და სანთელი ჩემი დაშრიტა და ყუავილი ჩემი დააჭნო,უდროოდ ჩემი ახალგაზრდობა და სილამაზე დაღუპა,True,False,
შუენიერებაჲ სიკეთისა ჩემისაჲ დააბნელა და დიდებაჲ ჩემი დაამდაბლა,"ჩამოახმო, სიკვდილის პირას მიმიყვანა",True,False,
ღმერთმან საჯოს მის შორის და ჩემ შორის,ღმერთი გაგვასამართლებს მას და მე,True,False,
ლხინებაჲ ვპოვო,შვებას მოვიპოვებ,True,False,
უგულისჴმოება,უგუნურება,False,False,
უწყალოება,შეუბრალებლობა,False,False,
ტიროდეს,ტიროდნენ,False,False,
მარტჳლი,მოწამე,False,False,
ღმერთმან მიგიტევენინ (ცოდვანი),ღმერთმა მოგვიტევოს ცოდვები,True,False,
რომელ-რაჲ,იგი ჰყავთ - რაც ჩაიდინეთ,True,True,რომელ
მაშინღა,"მაშინ უკვე, მხოლოდ მაშინ",False,False,
ეზოჲ და პალატი,სახლ-კარი,True,False,
ამცნებდა სლვად გზათა ღმრთისათა,"ასწავლიდა, ღვთის გზით იარონ",True,False,
ეტყოდა,ეუბნებოდა,False,False,
ესე ყოველი ცხორებაჲ ვითარცა ყუავილი ველთაჲ წარმავალ არს,ეს ცხოვრება მინდვრის ყვავილივით წარმავალია,True,False,
დაუდგრომელი,არამყარი,False,False,
ვინ სთესა,მოიმკო - ვინც დათესა - მოიმკო,True,False,
ვინ განაბნია გლახაკთათჳს,"შეიკრიბა - ვინც გლახაკები შეიწყალა (მათ ქონება დაურიგა), იგი გამდიდრდა",True,False,
"რომელმან წარიწყმიდოს თავი თჳსი, მან პოოს იგი, რომელმან ადიდა იგი","ვინც თავს დაიღუპავს, მას იპოვის, ვინც იგი ადიდა (ე.ი. ვინც ღვთის გამო მოკვდება, იგი ღმერთს იხილავს)",True,False,
უჯმნა,"გამოუშვა, გამოემშვიდობა",False,False,
მოყუასი,მეგობარი,False,False,
"დამაშურალ, სახლეულითურთ თანაყოფით იყვნეს",ზრუნავდნენ ოჯახის წევრებთან ერთად,True,False,
იყვნეს... თანაზიარ,თანაუგრძნობდნენ,True,False,
მადლობით წარჰგზავნიდეს ნავთსადგურისა მის მიმართ ქრისტჱსისა,მადლობით აგზავნიდნენ სამუდამო სამყოფელში,True,False,
აზნაური,დიდი ფეოდალი,False,False,
ზეპური,"დიდებული, დიდგვაროვანი",False,False,
დედაჲ,ქალი,False,False,
უაზნო,მდაბიო,False,False,
სოფლისა ქართლისანი,საქართველო (ქართლი),True,False,
ახოვანი მჴნე,მხნე მებრძოლი,True,False,
მიჰვედრიდეს ქრისტესა,ქრისტეს შეავედრებდნენ,True,False,
ითხოვდეს,ითხოვდნენ,False,False,
ერთბამად,ერთხმად,False,False,
საცოდ,დასაცავად,False,False,
ნაკურთხევი,დალოცვილი,False,False,
ხუცესმან აღივსენ წადილი თქუენი,მღვდელმა შეგისრულოთ სურვილი,True,False,
მე რაჲმე,რაჲ შემძლებელ ვარ - მე რის შემძლე ვარ (მე რა შემიძლია)? ქრისტემან აღგავსენინ თქუენ ყოვლითა კეთილითა - ქრისტემ აგავსოთ ყველაფერი კეთილით,True,False,
მოშუერით,"მოხვედით, გაისარჯეთ, შეწუხდით",False,False,
აჰა ესერა,აი,True,False,
გზასა წარვალ საუკუნესა,სამარადისო გზას,True,False,
ჭირისა ამის წილ,გაჭირვების სანაცვლოდ,True,False,
მომმადლოს,მომმადლებს,False,False,
მივემთხჳო მე დიდებასა,მივიღებ დიდებას,True,False,
ჯმნული,განშორებული,False,False,
ძლევისა მისთჳს,გამარჯვების გამო,True,False,
შესწირვიდეს,სწირავდნენ,False,False,
გამოვიდეს ციხით,ციხიდან გამოვიდნენ,True,False,
წარვიდეს,წავიდნენ,False,False,
მოუწოდა,დაუძახა,False,False,
მადლსა მისცემდა,მადლობას უხდიდა,True,False,
მოწლებისა მისისათჳს,მისი სიკეთის გამო,True,False,
მამამძუძე,აღმზრდელი,False,False,
შემვედრა,შემავედრა,False,False,
უბრძანებდა დასხმად ადგილსა მას,"უბრძანებდა, იქ დაეკრძალათ",True,False,
ვინაჲცა-იგი,საიდანაც,True,True,ვინაჲცა
უკუეთუ,თუ,False,False,
ღირს რჲმე ვარ,ღირსი ვარ,True,False,
უკუანაჲსკნელი ესე მეათერთმეტჱ მოქმედი ვენაჴისაჲ,მორწმუნეთა შორის უკანასკნელი,True,False,
მაშინღა,"მაშინ უკვე, მხოლოდ მაშინ",False,False,
ადრე–ადრე,სწრაფად,False,False,
მოიღო,მოიტანა,False,False,
შესაგრაგნელად,შესახვევად,False,False,
თხრამლი,ჩირქი,False,False,
ყოველი კრებული,მთელი მრევლი,True,False,
კეროვნი აღნთებული,ანთებული სანთელი,True,False,
საკუმეველი სულნელი,სურნელოვანი საკმეველი,True,False,
აღვიხუენით . . . ძუალნი,ავიღეთ ძვლები (გვამი),True,False,
გამოვიხუენით,გამოვასვენეთ,False,False,
დავითის ქნარითა,ფსალმუნებით,True,False,
განაქველნის მამანიცა და დედანიცა,ამხნევებს კაცებს და ქალებს,True,False,
თჳსი იგი ძლიერებისა ძლევაჲ მიჰმადლის,თავის მახლობლებს (მორწმუნეებს) გამარჯვებას მიანიჭებს,True,False,
აპნისი,იანვარი,False,False,
აღუსებისა ზატიკი,აღდგომის დღესასწაული,True,False,
ვარდობაჲ,მაისი,False,False,
აღსრულებაჲ,სიკვდილი,False,False,
კოზმან და დამიანე,ეწამნენ კილიკიაში დიოკლიტიანე იმპერატორის დროს (III-IVსს.),True,False,
განვაწესეთ,დავაწესეთ,False,False,
რომლისა შუენის,"რომელსაც შვენის, შეეფერება",True,False,
