term,gloss,is_phrase,repaired,original_key
რაჲთა უწყოდი,რომ ვიცოდე,True,False,
მკითხავ,მეკითხები,False,False,
მტკიცედ სდგაა?,მტკიცედ სდგახარ? მტკიცედ გწამს?,True,False,
ნუ იყოფინ ჩემდა,"ნუ დამემართება, მომივა",True,False,
თუმცა ვეზიარე,რომ შევუერთდე,True,False,
მწარე გონებაჲ აქუს მას,მძიმე (ბოროტი) ბუნება აქვს,True,False,
გუემა,ცემა,False,False,
შეგაგდოს,ჩაგაგდებს,False,False,
უმჯობჱს არს,უმჯობესია,True,False,
ჩემდა,"ჩემთვის, ჩემკენ",False,False,
ჴელთა მისთაგან,მისგან,True,False,
ჩემი და მისი შეკრებაჲ,მასთან ჩემი შეთანხმება,True,False,
წარწყმედაჲ,დაღუპვა,False,False,
რამეთუ,"რომ, რადგანაც",False,False,
მასმიეს,გამიგონია,False,False,
განეყენენ,"გამშორდეს, მოშორდეს",False,False,
ვთქუ,ვთქვი,False,False,
ესევითარი,ასეთი,False,False,
სახლი მშჳდობისაჲ,წყნარი ოჯახი,True,False,
ვითარ,"როგორ, როგორც",False,False,
საწყალობელ იქმნა,საცოდავი გახდა,True,False,
ზრახვითა იყო იგი ვარსქენისათა,ვარსქენის თანამოაზრე იყო,True,False,
ზაკუვით იტყოდა,მოსატყუებლად ამბობდა,True,False,
უნდა,უნდოდა,False,False,
მონადირება,მოტყუება,False,False,
ცნა,"გაიგო, მიხვდა",False,False,
ზრახვაჲ,განზრახვა,False,False,
მოიზღუდა თავი მისი მტკიცედ,შორს დაიჭირა თავი,True,False,
მიცნობიეს,შემიტყვია,False,False,
გეტყჳ,გეუბნები,False,False,
ფიცხელი სიტყუა,სასტიკი სიტყვა,True,False,
რამეთუ დედათა ბუნებაჲ იწრო არს,ქალის ბუნება ნაზია,True,False,
გჳწოდა,დაგვიძახა,False,False,
ხუცესი,მღვდელი (სასულიერო პირი),False,False,
სიხარულით შეგჳმთხჳნა,სიხარულით გადაგვეხვია (შეგვხვდა),True,False,
გურქუა,გვითხრა,False,False,
ნუცაღა,ნუ,False,False,
გძაგ,გეჯავრები,False,False,
წარსწყმიდე,დაიღუპე,False,False,
წარგუწყმიდენ,დაგვღუპე,False,False,
მაშინღა,"მაშინ უკვე, მხოლოდ მაშინ",False,False,
იწყო სიტყუად,დაიწყო ლაპარაკი,True,False,
რაჲსა,რატომ,False,False,
ჴელ-იწიფა,გაბედა,True,True,ჴელ
ესევითარისა საქმედ,ამისთანა საქმის გაკეთება,True,False,
აწ მივედით და არქუთ,ახლა მიდით და უთხარით,True,False,
ვითარმედ,რომ,False,False,
შენ ჩემი ხატი დაამჴუ და საგებელსა ჩემსა ნაცარი გარდაასხ,შენ ჩემი მეუღლეობა უარყავი და ჩემს სარეცელს ნაცარი გადააყარე,True,False,
დაგიტევებიეს,მიგიტოვებია,False,False,
სხუად წარსრულ ხარ,სხვაგან წასულხარ,True,False,
აღჰმართნა სამარტჳლენი და ეკლესიანი აღაშჱნნა,ააშენა ეკლესიები,True,False,
საქმენი განჰრყუნენ,საქმეები გააფუჭე,True,False,
წმიდანი შემოიხუნა სახიდ თჳსა,თავის სახლში წმინდანები შემოიყვანა (აქ: სიწმინდე შემოიტანა),True,False,
დევნი შემოიხუენ,ეშმაკები შემოიყვანე (აქ: უწმინდურება შემოიტანე),True,False,
ჰრწმენა,ირწმუნა,False,False,
ვითარცა,"როგორც, როცა",False,False,
შემოქმედი,შემქნელი (აქ: ღმერთი),False,False,
შეურაცხ–გყავ,არად ჩაგაგდე,False,False,
მრავალი ტანჯვაჲ მოაწიო ჩემ ზედა,ძლიერ დამტანჯავ,True,False,
მიუთხართ,ვუამბეთ,False,False,
მან განიწყო გული,განრისხდა,True,False,
იბრდღუენდა მისთჳს,ამის გამო მძვინვარებდა,True,False,
ძმისცოლი,რძალი,False,False,
აღდეგ და მოვედ,ადექი და მოდი,True,False,
უკუეთუ არა,თუ არა,True,False,
თრევით მოგითრიო,მოგათრევ,True,False,
შევიდეს წინაშე დედოფლისა,შევიდნენ დედოფალთან,True,False,
მრავალსა დასაჯერებელსა სიტყუასა ეტყოდეს,ძლიერ ცდილობდნენ დაეთანხმებინათ,True,False,
კეთილად იტყჳთ,კარგად ლაპარაკობთ,True,False,
გარნა ნუ დაგიჯერებიეს,მაგრამ ნუ გჯერათ,True,False,
თუმცა მე მისა ცოლადღა ვიყავ,რომ მე მისი ცოლი ვიქნები კიდევ,True,False,
მეგონა მე,ვფიქრობდი,True,False,
ვითარმედ,რომ,False,False,
ჩემდა,"ჩემთვის, ჩემკენ",False,False,
შემდგომად ორისა დღისა,ორი დღის შემდეგ,True,False,
პური ვჭამოთ,ვჭამთ,True,False,
ნუ ვის უფლიედ ჩუენ თანა შემოსლვად,ნუ ვინ შემოვა ჩვენთან,True,False,
შემწუხრდა,შეღამდა,False,False,
მოუწოდეს,მოიწვიეს,False,False,
რაჲთამცა მოიყვანეს,რომ მოეყვანათ,True,False,
ჟამი პურისაჲ,ჭამის დრო,True,False,
რაჲთამცა მასცა აჭამეს,რომ მასაც აჭამონ,True,False,
